REST_ID,REST_RANK,REST_PLACEREVIEWCOUNT,REST_NAME,REST_TEL,REST_ADDRESS,REST_THUMURL,REST_BIZHOURINFO,REST_X,REST_Y
11705045,1,4,롯데렌터카 대전지점,042-252-8000,대전광역시 서구 용문동 282-7,https://ldb-phinf.pstatic.net/20220608_99/1654691330178hNfMa_JPEG/1654691272545.jpg,매일 06:00~22:00,127.3938473,36.3325319
34994463,2,1,롯데렌터카 세종지점,044-868-8933,세종특별자치시 나성동 723,https://ldb-phinf.pstatic.net/20160831_5/14726097863571krQd_JPEG/176781514644987_0.jpeg,평일 08:30~17:30,127.2625014,36.4793087
1628515754,3,1,롯데렌터카 논산영업소,,충청남도 논산시 내동  399-1,,,127.0970320,36.1861332
17344875,4,4,롯데렌터카 청주지점,043-213-8000,충청북도 청주시 흥덕구 복대동 834-7,https://ldb-phinf.pstatic.net/20160831_51/1472615814902XE25m_JPEG/176781528674187_0.jpeg,"평일 08:00~18:00 | 주말 08:00~20:00 금요일~일요일, 휴일",127.4514046,36.6346698
1605825649,5,7,롯데렌터카 전주KTX지점,063-245-8000,전라북도 전주시 덕진구 우아동3가 752-57 1층,https://ldb-phinf.pstatic.net/20191105_116/1572933880128vtXyx_JPEG/V9tZ2S8MMcblPeAMwmDNiMOT.jpg,평일 08:30~18:00 | 공휴일 08:30~20:00 | 주말 08:30~20:00,127.1604407,35.8487923
32489814,6,5,롯데렌터카 천안아산KTX지점,041-549-0030,충청남도 아산시 배방읍 장재리 1767,https://ldb-phinf.pstatic.net/20160831_108/1472615705939cJIhe_JPEG/176781528524887_4.jpeg,"평일 08:30~18:00 연중무휴 | 주말 08:30~18:00 금요일~일요일, 휴일, 연중무휴",127.1075644,36.7955244
1301141370,7,10,롯데렌터카 익산KTX지점,063-851-8000,전라북도 익산시 중앙동2가 14-47 1층 롯데렌터카,,매일 08:30~18:00,126.9468788,35.9387206
11704741,8,5,롯데렌터카 천안지점,041-563-8000,충청남도 천안시 서북구 두정동 91,https://ldb-phinf.pstatic.net/20160831_57/14726155728017x576_PNG/176781528272126_0.png,매일 08:30~18:00,127.1498384,36.8317749
1856748122,9,7,롯데렌터카 전주지점(장기렌터카 전담),063-244-8000,전라북도 전주시 덕진구 팔복동3가 81-1,https://ldb-phinf.pstatic.net/20191024_196/1571870033521FQzYF_JPEG/KsI8OphwyRnHAesdYj3CtHTs.jpg,평일 08:30~18:00 단기렌터카는 전주KTX지점을 이용하세요,127.0974717,35.8409143
1660156746,10,2,롯데렌터카 경북북부SP협의회,,경상북도 상주시 낙양동  123-21,,,128.1525623,36.4110750
20521152,11,6,롯데렌터카 군산지점,063-452-8000,전라북도 군산시 수송동 53-6,https://ldb-phinf.pstatic.net/20160831_119/1472606621025iwXIR_PNG/176781505360219_0.png,매일 08:30~18:00,126.7160583,35.9558476
1994331750,12,3,롯데렌터카 김천구미KTX지점,054-434-8002,경상북도 김천시 남면 옥산리 787-1,https://ldb-phinf.pstatic.net/20191107_135/1573106744348LHIHv_JPEG/MrZusKgzaqCTOJsrnW71o5PM.jpg,평일 08:30~20:00 | 주말 08:30~18:00 | 공휴일 08:30~18:00,128.1807667,36.1133582
659750629,13,11,롯데렌터카 롯데렌탈오토옥션,1899-4751,경기도 안성시 원곡면 지문리 560-1,,,127.1316232,37.0467251
20037795,14,1,롯데렌터카 충주지점(장기렌터카 전담),043-842-8002,충청북도 충주시 봉방동 169-5,https://ldb-phinf.pstatic.net/20160831_136/1472615949721LKEPL_JPEG/176781528929023_0.jpeg,매일 08:30~18:00,127.9114819,36.9755754
11705112,15,3,롯데렌터카 평택지점,031-667-8000,경기도 평택시 서정동 318-9,,매일 08:30~19:00,127.0541997,37.0566628
20388498,16,3,롯데렌터카 당진지점,041-354-8001,충청남도 당진시 수청동 999 G1파크빌 206호,https://ldb-phinf.pstatic.net/20160831_181/1472609025607l2kc9_JPEG/176781513364648_0.jpeg,평일 08:30~18:00 | 주말 휴무,126.6470111,36.9007432
11705080,17,5,롯데렌터카 구미지점,054-475-8000,경상북도 구미시 진평동 1026-4,,매일 08:30~18:00,128.4185931,36.1065985
20388817,18,7,롯데렌터카 오산지점,031-373-8006,경기도 오산시 오산동 881-9 씨에프코아빌딩 1층 108호,https://ldb-phinf.pstatic.net/20220831_174/16619317704121sBzd_JPEG/20220831_164210.jpg,매일 08:30~18:00,127.0676909,37.1446660
20388764,19,1,롯데렌터카 서산지점,041-855-8000,충청남도 서산시 석림동 764-2 원진빌딩 2층,https://ldb-phinf.pstatic.net/20220511_24/1652254846637Dh9kg_PNG/2.png,매일 08:30~18:00,126.4595849,36.7716487
1204451244,20,10,롯데렌터카 수원지점,031-215-8181,경기도 수원시 팔달구 인계동 468 KBS 수원방송센터 입구 1층 (KBS아트홀),https://ldb-phinf.pstatic.net/20220126_121/1643180844819Ou7oJ_PNG/getImage.png,월요일 08:00~20:00 연중무휴 | 화요일 08:00~20:00 연중무휴 | 수요일 08:00~20:00 연중무휴 | 목요일 08:00~20:00 연중무휴 | 금요일 07:00~21:00 연중무휴 | 주말 07:00~21:00 연중무휴 | 공휴일 07:00~21:00 연중무휴,127.0306467,37.2679435
11705115,21,6,롯데렌터카 안산지점,031-407-8000,경기도 안산시 단원구 고잔동 527-2 센터하임 오피스텔 1층 108호,https://ldb-phinf.pstatic.net/20220721_91/1658380708693u64zP_JPEG/85B81B1E-B942-480D-849A-B4F3012C3AF1.jpeg,매일 07:30~19:30,126.8323529,37.3202600
1170028803,22,1,롯데렌터카 서대구지점 (장기렌터카 전담),053-657-8001,대구광역시 동구 신암동 276-14,https://ldb-phinf.pstatic.net/20200806_25/1596692541038HLFbW_JPEG/SUC7_P0IuCuWLeF8TAQrh26r.jpg,평일 08:30~17:30 *단기렌터카는 동대구지점을 이용해주세요(같은 건물 1층) | 주말 휴무,128.6293156,35.8812433
11705071,23,3,롯데렌터카 원주지점,033-764-8000,강원도 원주시 무실동 1726-6,https://ldb-phinf.pstatic.net/20190927_194/1569580195411tvwN1_JPEG/bCLC4KzY7DOrMn2x8B-fBh8K.jpg,매일 08:30~18:00,127.9260373,37.3393977
11705111,24,11,롯데렌터카 분당지점,031-701-8007,경기도 성남시 분당구 야탑동 352-4 유니마트 124호,https://ldb-phinf.pstatic.net/20200503_122/1588474661728GgYjl_JPEG/4go-jID5pGIGqUhv8I6RcldM.jpeg.jpg,평일 07:00~19:00 | 공휴일 07:00~19:00,127.1276132,37.4120750
1811272240,25,10,롯데렌터카 동대구지점,053-611-8000,대구광역시 동구 신암동 276-4,,매일 08:00~20:00,128.6292491,35.8811214
11705059,26,8,롯데렌터카 동대구역 주차장,053-611-8000,대구광역시 동구 신암동 276-14,,평일 00:00~24:00 | 토요일 00:00~24:00 | 일요일 00:00~24:00 | 공휴일 00:00~24:00,128.6293390,35.8811723
1643629651,27,0,롯데렌터카 안동영업소,010-4444-4884,경상북도 안동시 태화동 188-8,https://ldb-phinf.pstatic.net/20191223_19/1577088621706mkGfn_JPEG/MdSM4ftjnQepfxhQf7xepPRI.jpeg.jpg,매일 08:30~23:00 ☎전화문의환영,128.7132894,36.5651093
11705116,28,22,롯데렌터카 안양지점,031-454-8000,경기도 안양시 동안구 평촌동 897 컬러힐주차빌딩 1층 106호,https://ldb-phinf.pstatic.net/20220415_229/1649989351362L43La_JPEG/1649989342803.jpg,평일 08:00~20:00 2021 7/15 ~ 2021 8/31 | 주말 07:00~19:00 | 공휴일 07:00~19:00,126.9646483,37.3950926
1203530978,29,2,롯데렌터카 영주영업소,,경상북도 영주시 상망동  380-8,https://ldb-phinf.pstatic.net/20211120_14/1637418346774EzYA8_JPEG/47EFF1CC-9976-46A7-B47A-B385E249F9DD.jpeg,매일 00:00~24:00,128.6393838,36.8479823
586468984,30,1,롯데렌터카 수서역지점,02-445-8899,서울특별시 송파구 문정동 628 지하 1층,https://ldb-phinf.pstatic.net/20220308_267/1646705453546C9FBn_PNG/%BC%DB%C6%C4%C1%F6%C1%A1.png,평일 08:30~18:00 | 주말 08:30~20:00,127.1189685,37.4786598
1258302341,31,47,롯데렌터카 양재지점,02-529-8000,서울특별시 서초구 양재동 23 양재주차장 206호,https://ldb-phinf.pstatic.net/20190910_266/1568099761429uhzVV_JPEG/3B3DgJLuyMSxEBaeZmX04rBQ.jpg,매일 07:00~22:00,127.0344392,37.4833424
1280316473,32,4,롯데렌터카 관악지점,02-875-8200,서울특별시 관악구 봉천동 870-13,,월요일 08:30~19:00 | 화요일 08:30~19:00 | 수요일 08:30~19:00 | 목요일 08:30~19:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,126.9514833,37.4817674
1177006262,33,1344,롯데렌터카 서울본사(선릉사옥),1588-1230,서울특별시 강남구 대치동 890-20,https://ldb-phinf.pstatic.net/20180209_240/1518159079750RljHK_JPEG/2015062301002725200196981_99_20150622141604.jpg,,127.0527884,37.5052787
11705027,34,157,롯데렌터카 강남지점 (24시간 운영),02-3443-8000,서울특별시 강남구 삼성동 166-7 건호빌딩 1층,https://ldb-phinf.pstatic.net/20150820_115/1440033596670R2wqs_JPEG/SUBMIT_1440033588631_11705027.jpg,매일 00:00~24:00,127.0655654,37.5119919
20388551,35,11,롯데렌터카 동광주지점,062-412-8000,광주광역시 북구 중흥동 699-2 한국 시멘트빌딩 1층,https://ldb-phinf.pstatic.net/20220530_220/1653870172101quY1c_PNG/1.png,평일 08:30~18:00 | 주말 08:30~20:00,126.9097273,35.1643139
20388464,36,29,롯데렌터카 구로디지털지점,02-866-8003,서울특별시 구로구 구로동 188-25,,월요일 08:30~18:00 | 화요일 08:30~18:00 | 수요일 08:30~18:00 | 목요일 08:30~18:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,126.8969595,37.4852718
1943494296,37,12,롯데렌터카 구로지점,02-3664-8000,서울특별시 금천구 가산동 459-11,,월요일 08:30~18:00 | 화요일 08:30~18:00 | 수요일 08:30~18:00 | 목요일 08:30~18:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,126.8815811,37.4819131
20388882,38,18,롯데렌터카 천호지점,02-482-8002,서울특별시 강동구 천호동 450,https://ldb-phinf.pstatic.net/20220422_266/1650611348991ykJlQ_JPEG/IMG_4755.jpeg,월요일 08:30~19:00 | 화요일 08:30~19:00 | 수요일 08:30~19:00 | 목요일 08:30~19:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,127.1302604,37.5368736
1610203111,39,1136,롯데렌터카,,서울특별시 서초구 서초동 1677-14,,,127.0190884,37.4950229
1620097806,40,630,롯데렌탈,02-1588-1230,서울특별시 강남구 대치동 890-20,,,127.0528869,37.5053209
1765317087,41,0,롯데렌터카 인천배송센터,070-7008-3112,인천광역시 미추홀구 문학동 482,http://ldb.phinf.naver.net/20200803_133/1596446447628O1IQs_JPEG/7_sJcWoKD2ZQ9l_3E-9CUIpw.jpg,,126.6904387,37.4381934
11704994,42,19,롯데렌터카 신도림지점,02-785-8000,서울특별시 구로구 신도림동 337 신도림푸르지오1차 104동 240호(2층),https://ldb-phinf.pstatic.net/20211011_73/1633941793340LEsGB_JPEG/c9DaG3V8C2CddQ9Ss2HhTkm6.jpg,"평일 08:30~18:00 월요일 ~ 목요일 | 주말 08:30~20:00 금요일 ~ 일요일, 공휴일 포함",126.8882402,37.5098952
20388800,43,8,롯데렌터카 인천지점,032-821-8008,인천광역시 남동구 구월동 1130,,매일 08:30~18:00,126.7019625,37.4517390
1320532096,44,9,롯데렌터카 공덕지점,02-714-8001,서울특별시 마포구 공덕동 467 롯데시티호텔 2층,,월요일 08:30~19:00 | 화요일 08:30~19:00 | 수요일 08:30~19:00 | 목요일 08:30~19:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,126.9503881,37.5447373
1773056931,45,5,롯데렌터카 목동지점,02-2659-8000,서울특별시 양천구 신정동 1009-4 유앤미법조빌딩 1층 107호 롯데렌터카 목동지점,,월요일 08:30~18:00 | 화요일 08:30~18:00 | 수요일 08:30~18:00 | 목요일 08:30~18:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,126.8639337,37.5228584
20388460,46,4,롯데렌터카 광주공항지점,062-955-8000,광주광역시 광산구 신촌동 698-9,https://ldb-phinf.pstatic.net/20160831_192/1472608276942RhP53_JPEG/176781508136025_0.jpeg,매일 08:30~19:00,126.8108082,35.1399067
36943037,47,6,롯데렌터카 광주송정KTX지점,062-943-8001,광주광역시 광산구 송정동 1427 3층,https://ldb-phinf.pstatic.net/20220516_71/1652666340766iLwPM_PNG/%C8%A8%C6%E4%C0%CC%C1%F6_%B7%CE%B0%ED.png,평일 08:30~18:30 | 금요일 08:30~20:00 | 주말 08:30~20:00,126.7914030,35.1380586
11704999,48,16,롯데렌터카 홍대지점,02-2634-8000,서울특별시 마포구 동교동 161-4,https://ldb-phinf.pstatic.net/20211022_211/163487131073250w87_JPEG/EHkSxknAXZfjaZqpvfgQlFpB.jpeg.jpg,월요일 08:30~18:00 | 화요일 08:30~18:00 | 수요일 08:30~18:00 | 목요일 08:30~18:00 | 금요일 08:30~19:00 | 주말 08:30~19:00,126.9217160,37.5561434
1421418641,49,5,롯데렌터카 상봉(망우역)지점,02-491-8002,서울특별시 중랑구 상봉동 500,https://ldb-phinf.pstatic.net/20200718_128/1595054031847lEVAP_JPEG/kMqlxUqEM_OlNxilhTVZa31e.jpeg.jpg,평일 08:30~18:00 | 금요일 08:30~19:00 | 주말 08:30~19:00 | 공휴일 08:30~19:00,127.0903644,37.5982973
20388768,50,68,롯데렌터카 서울역지점 (24시간 운영),02-715-0010,"서울특별시 용산구 서계동 47-2 대한통운서울지사 1층 (주차동 안쪽, 사무동 왼편)",,매일 00:00~24:00 연중무휴,126.9683236,37.5523244
20388877,51,1,롯데렌터카 진주지점,055-753-8000,경상남도 진주시 가좌동 2068-1,https://ldb-phinf.pstatic.net/20210602_181/1622615150909GvKCk_JPEG/S0w_TbkW5jWX1fW4IfDVRpZj.jpg,매일 08:30~18:00,128.1182246,35.1545138
11705007,52,12,롯데렌터카 김포공항지점,02-2663-8000,서울특별시 강서구 공항동 1373-5,https://ldb-phinf.pstatic.net/20191019_263/1571449954462i59pm_JPEG/wpsCzdUQkErr2MDmlW_ws05i.jpg,매일 08:00~22:00,126.8085127,37.5567761
20388744,53,3,롯데렌터카 부천지점,032-679-8000,인천광역시 계양구 계산동 918-9 JMD빌딩 4층 401호,https://ldb-phinf.pstatic.net/20190720_74/1563611991745e7DJ0_JPEG/D8A-PmaULVF4CX1jwqhyPnKu.jpg,매일 08:30~18:00,126.7316637,37.5434649
1678710261,54,2,롯데렌터카 수유지점,02-922-8000,서울특별시 강북구 번동 449-1 북한산스카이빌딩10층,,월요일 08:30~19:00 | 화요일 08:30~19:00 | 수요일 08:30~19:00 | 목요일 08:30~19:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,127.0238352,37.6356640
1210011860,55,1,롯데렌터카 마곡지점,02-2063-8504,서울특별시 강서구 마곡동 773 힐스테이트에코마곡역 2층 209호,https://ldb-phinf.pstatic.net/20190315_281/1552619269599th5Vm_JPEG/nU0jQzxaJhP_L4t8tViJRATr.jpg,매일 09:00~18:00 연중무휴,126.8275085,37.5603956
18944773,56,1,롯데렌터카 가양출고센터,,서울특별시 강서구 가양동 30-10,https://ldb-phinf.pstatic.net/20200803_45/1596462504755T0u3O_JPEG/BJ0rqAGkcOifiFfblxT6ABwq.jpg,,126.8478590,37.5671327
1049000875,57,83,롯데렌터카 인천국제공항지점(T2),032-743-8000,인천광역시 중구 운서동 2840,https://ldb-phinf.pstatic.net/20220818_208/1660799594438vxuM0_JPEG/1659752696154.jpg,매일 06:00~22:00,126.4343082,37.4672754
11704769,58,7,롯데렌터카 순천지점,061-724-8000,전라남도 순천시 덕암동 188-101,https://ldb-phinf.pstatic.net/20160831_260/1472609142325GLqH3_JPEG/176781513561791_0.jpeg,월요일 08:30~18:00 | 화요일 08:30~18:00 | 수요일 08:30~18:00 | 목요일 08:30~18:00 | 금요일 08:30~20:00 | 주말 08:30~20:00,127.5034375,34.9451179
11704777,59,13,롯데렌터카 인천국제공항지점(T1),032-743-8000,인천광역시 중구 운서동 2851,https://ldb-phinf.pstatic.net/20220806_167/1659754068218zA0KB_JPEG/T1%C0%FC%B0%E6.jpg,평일 08:00~18:00 | 주말 09:00~18:00,126.4508231,37.4493294
20388459,60,1,롯데렌터카 광양지점(장기렌터카 전담),061-792-8033,전라남도 광양시 중동 1362-10,https://ldb-phinf.pstatic.net/20160831_46/1472609380423gAfIs_JPEG/176781513959162_0.jpeg,평일 08:30~18:00 | 주말 휴무,127.6885605,34.9398454
12961413,61,9,롯데렌터카 의정부지점,031-852-8003,경기도 의정부시 호원동 455-5 2층 롯데렌터카,https://ldb-phinf.pstatic.net/20200619_75/1592528508160V0XKE_JPEG/RtlbQoE8FVZk47ijt4x0Ka8V.jpg,매일 08:30~18:00,127.0480636,37.7116550
11705105,62,2,롯데렌터카 일산지점,031-814-8000,경기도 고양시 일산서구 대화동 2199 신동아노블타워 1층 107호,https://ldb-phinf.pstatic.net/20200514_271/1589419299189FRXUh_JPEG/JYaX6BE-7AY7pivw13TnHS6u.jpeg.jpg,매일 07:00~21:00,126.7508160,37.6750263
20388787,63,9,롯데렌터카 여수공항지점,061-685-0008,전라남도 여수시 율촌면 신풍리 979,https://ldb-phinf.pstatic.net/20160831_41/1472609532856UqoqJ_JPEG/176781514232279_0.jpeg,매일 09:00~19:00,127.6140184,34.8401897
21673376,64,11,롯데렌터카 경주지점,054-746-8001,경상북도 경주시 광명동 393-3,https://ldb-phinf.pstatic.net/20150901_147/1441097979969B8RXO_JPEG/SUBMIT_1436432811177_21673376.jpg,평일 08:30~18:00 | 금요일 08:30~20:00 | 주말 08:30~20:00 | 공휴일 08:30~20:00,129.1469986,35.8191906
11705091,65,3,롯데렌터카 창원지점,055-295-8000,경상남도 창원시 의창구 사림동 166-9 미래드림 105호,https://ldb-phinf.pstatic.net/20220205_150/1644037409384tbkjG_JPEG/20220205_135936.jpg,매일 08:00~20:00,128.7010166,35.2391271
11705072,66,6,롯데렌터카 춘천지점,033-243-8000,강원도 춘천시 퇴계동 1152-2 수성빌딩(한국노총 강원지역본부) 1층,https://ldb-phinf.pstatic.net/20200114_159/1578982131708VMNO0_JPEG/5EsdoH4TY1aNGLfNc5ohgeJ6.jpg,매일 08:30~18:00,127.7262600,37.8656266
11705064,67,14,롯데렌터카 포항지점,054-252-8000,경상북도 포항시 북구 흥해읍 이인리 43-2,https://ldb-phinf.pstatic.net/20191220_119/1576831981727bLCvk_JPEG/Oe7qi7UyYr1J1XJu_t6-dF_C.jpg,매일 08:30~18:00 연중무휴,129.3435248,36.0775211
20388890,68,13,롯데렌터카 포항KTX지점,054-278-8000,경상북도 포항시 북구 흥해읍 이인리 106,,평일 08:30~18:00 | 금요일 08:30~19:00 | 주말 08:30~19:00 | 공휴일 08:30~19:00,129.3433965,36.0738371
11704766,69,48,롯데렌터카 여수지점,061-642-8000,전라남도 여수시 덕충동 2035-2 신성오피스텔 B102호,https://ldb-phinf.pstatic.net/20160831_276/1472609642603gdhyx_JPEG/176781514421656_0.jpeg,매일 08:30~18:00,127.7457191,34.7532891
1280430275,70,1,롯데렌터카 양주영업소,031-866-6566,경기도 양주시 봉양동 802-7,http://ldb.phinf.naver.net/20200217_65/1581919345338doXaR_JPEG/Y_DMz5CfsvshQr4GDtPY-lJ4.jpg,,127.0602294,37.8689007
35756656,71,15,롯데렌터카 울산KTX지점,052-254-8050,울산광역시 울주군 언양읍 어음리 60,,매일 08:00~20:00,129.1403025,35.5567644
20388493,72,18,롯데렌터카 김해공항지점,051-941-8000,부산광역시 강서구 대저2동 2027-2 롯데렌터카 김해공항지점,https://ldb-phinf.pstatic.net/20220512_209/1652334735975Nw1c2_JPEG/BandPhoto_2022_05_12_14_48_26.jpg,매일 08:00~22:00,128.9544497,35.1798721
11704775,73,8,롯데렌터카 목포지점,061-274-8000,전라남도 목포시 상동 902-1,https://ldb-phinf.pstatic.net/20160831_126/1472607119510TloSA_JPEG/176781506178357_0.jpeg,"평일 08:30~18:00 | 주말 08:30~20:00 금,토,일",126.4181162,34.8024032
1978422002,74,2,롯데렌터카 목포역지점,061-274-8001,전라남도 목포시 호남동 177 177번지,https://ldb-phinf.pstatic.net/20200105_5/1578224209972H8Ewn_JPEG/PDG-q_99SGLfECWkYE9eUIR1.jpeg.jpg,평일 08:30~20:00 | 주말 08:30~18:00,126.3863070,34.7915039
20388833,75,7,롯데렌터카 울산공항지점,052-293-8000,울산광역시 북구 화봉동 522 울산공항 1F 도착게이트 안,,매일 08:00~18:00,129.3559753,35.5927838
36940046,76,3,롯데렌터카 거제지점,055-637-8009,경상남도 거제시 고현동 405-15 1층,,매일 08:30~18:00,128.6280065,34.8791823
20388726,77,4,롯데렌터카 부산역지점,051-442-0091,부산광역시 동구 초량동 1189-2,,매일 08:30~20:00,129.0428063,35.1189675
20388725,78,2,롯데렌터카 부산역 아스티호텔지점,051-441-8000,부산광역시 동구 초량동 1201-1,,매일 08:30~17:30,129.0418276,35.1164235
1890156308,79,0,롯데렌터카 해운대지점,051-720-8282,부산광역시 해운대구 우동 1474 센텀SH밸리 509호,https://ldb-phinf.pstatic.net/20220810_30/1660122067747zTlJl_JPEG/27D85BCA-52B3-449E-B98C-F483CFEFE512.jpeg,평일 08:30~17:30,129.1308826,35.1725674
1957397218,80,1,롯데렌터카 부산지점,051-469-8630,부산광역시 동구 초량동 1191-6,https://ldb-phinf.pstatic.net/20210318_59/1616041338284mKioN_JPEG/iSkCq_OxK_24aUkA4Erxlfdo.jpg,평일 08:30~17:30 | 공휴일 휴무,129.0423007,35.1192314
11705073,81,3,롯데렌터카 강릉지점,033-642-8000,강원도 강릉시 교1동 1743-1,https://ldb-phinf.pstatic.net/20190123_142/1548230641440JbaRl_JPEG/iPxrafkMhS4AAL2tqN1Kz6qE.jpg,매일 08:30~18:00,128.8819375,37.7550417
1928689871,82,12,롯데렌터카 강릉KTX역 지점,033-645-8002,강원도 강릉시 교동 95 강릉KTX역 대합실 내 렌터카데스크,https://ldb-phinf.pstatic.net/20191227_239/1577451003703L9i4T_JPEG/lrk1VuY8Nr95MH_DkV9xfLZ8.jpg,매일 08:30~20:00,128.8993013,37.7645768
1372785448,83,1,롯데렌터카 양구영업소,033-482-8005,강원도 양구군 양구읍 상리 586-4,https://ldb-phinf.pstatic.net/20200228_285/1582869455802GB2oc_JPEG/hJS1IrnAf4t6bANxHXdDVq37.jpg,매일 00:00~23:59 연중무휴24시간영업,127.9888814,38.0992969
11705098,84,3,롯데렌터카 속초지점,033-632-8000,강원도 속초시 교동 895-1,https://ldb-phinf.pstatic.net/20210504_26/1620097354623sYuW9_JPEG/m0a5QkuhHQ3mOjwgw9OB1qvO.jpg,매일 08:30~18:00 영업시간 외 무인반납 가능,128.5724009,38.1933512
11704744,85,196,롯데렌터카 제주 오토하우스,064-751-8000,제주특별자치도 제주시 용담이동 855,https://ldb-phinf.pstatic.net/20150820_82/1440035068922dFu3Q_JPEG/SUBMIT_1440035063241_11704744.jpg,매일 06:00~23:00,126.5014951,33.5089294
